match_id,patch,region,start_time,duration,radiant_win,league_id,first_blood_time,r_hero_1,r_p1_id,r_hero_2,r_p2_id,r_hero_3,r_p3_id,r_hero_4,r_p4_id,r_hero_5,r_p5_id,d_hero_1,d_p1_id,d_hero_2,d_p2_id,d_hero_3,d_p3_id,d_hero_4,d_p4_id,d_hero_5,d_p5_id,rad_avg_gpm,dire_avg_gpm,first_roshan_team,first_roshan_time,roshan_2_team,roshan_2_time,first_tower_team,first_tower_time,first_tormentor_team,first_tormentor_time,kills_10m,max_gold_swing,wisdom_7m_rad,wisdom_7m_dire,radiant_team_id,dire_team_id
8739282581,59,8.0,1774178636.0,1524,1,18867.0,0,63,339941742.0,136,236214375.0,16,113923026.0,39,130433320.0,11,1023487276.0,15,203989019.0,12,355253528.0,49,790671764.0,101,793630681.0,83,906511622.0,515.0,344.6,0,1259,-1.0,9999.0,1.0,682.0,-1.0,9999.0,0,18927,0.0,0.0,9828921,10060977
8739246794,59,3.0,1774176945.0,1853,1,18959.0,109,50,1227183303.0,11,1185918470.0,59,1228355759.0,26,928499811.0,35,1200963940.0,111,1090568489.0,100,176158708.0,110,412910858.0,48,183270733.0,74,1068676453.0,535.8,414.4,0,651,0.0,1478.0,1.0,582.0,-1.0,9999.0,0,13812,0.0,0.0,8629005,9426115
8739224606,59,8.0,1774175823.0,1825,0,18867.0,0,83,906511622.0,15,203989019.0,46,355253528.0,106,790671764.0,100,793630681.0,27,236214375.0,63,130433320.0,87,339941742.0,126,1023487276.0,43,113923026.0,369.0,503.8,0,1577,-1.0,9999.0,1.0,784.0,-1.0,9999.0,0,18473,0.0,0.0,10060977,9828921
8739189979,59,3.0,1774173987.0,2001,1,18959.0,234,53,1750623235.0,84,808766025.0,2,1750510331.0,79,1749799475.0,13,1750299292.0,120,1103355581.0,47,1045494300.0,46,181339278.0,87,301477244.0,71,80599925.0,545.2,438.2,0,1783,-1.0,9999.0,1.0,394.0,-1.0,9999.0,0,15242,0.0,0.0,9768002,2443375
8739148577,59,3.0,1774171797.0,1402,0,18959.0,192,47,1103355581.0,26,80599925.0,38,1045494300.0,63,181339278.0,87,301477244.0,6,1750623235.0,79,1749799475.0,84,808766025.0,129,1750510331.0,11,1750299292.0,353.4,490.6,0,1086,-1.0,9999.0,1.0,782.0,-1.0,9999.0,0,14410,0.0,0.0,2443375,9768002
8739138444,59,8.0,1774171178.0,2099,1,18867.0,126,96,1171975340.0,145,197924168.0,83,1591533176.0,51,1056145299.0,106,819437701.0,63,236214375.0,39,113923026.0,71,339941742.0,98,1023487276.0,21,130433320.0,536.8,419.6,0,1792,-1.0,9999.0,1.0,668.0,-1.0,9999.0,0,20462,0.0,0.0,9729268,9828921
8739090148,59,3.0,1774168549.0,2661,0,18959.0,219,23,1750299292.0,26,1749799475.0,2,1750510331.0,128,808766025.0,10,1750623235.0,110,1103355581.0,39,1045494300.0,71,80599925.0,46,181339278.0,87,301477244.0,470.4,547.0,0,1728,0.0,2518.0,1.0,677.0,-1.0,9999.0,0,14510,0.0,0.0,9768002,2443375
8739066502,59,8.0,1774167236.0,1874,0,18867.0,0,64,113923026.0,85,339941742.0,19,236214375.0,75,130433320.0,13,1023487276.0,155,1171975340.0,145,197924168.0,136,1056145299.0,17,819437701.0,79,1591533176.0,386.4,503.6,0,1648,-1.0,9999.0,1.0,550.0,-1.0,9999.0,0,17142,0.0,0.0,9828921,9729268
8739058652,59,5.0,1774166732.0,3470,0,18865.0,2,21,881155636.0,126,398896331.0,100,411602527.0,87,89972122.0,47,494553157.0,13,248388120.0,64,935495351.0,65,389033587.0,27,274078636.0,102,113458514.0,520.0,552.6,0,1389,0.0,2080.0,1.0,678.0,-1.0,9999.0,0,7117,0.0,0.0,10047487,9098294
8739045863,59,3.0,1774166028.0,1606,0,18959.0,104,2,1621497616.0,71,1621570409.0,93,397206052.0,36,1622405666.0,83,1621422877.0,49,1232094007.0,99,202984325.0,145,1170923497.0,26,992327405.0,87,162724090.0,346.8,495.6,0,1474,-1.0,9999.0,1.0,624.0,-1.0,9999.0,0,14575,0.0,0.0,9425656,8629315
8739008861,59,3.0,1774163944.0,1506,1,18959.0,251,15,202984325.0,6,1170923497.0,64,162724090.0,14,992327405.0,76,1232094007.0,39,1622405666.0,11,397206052.0,26,1621570409.0,38,1621497616.0,37,1621422877.0,510.8,420.2,0,1358,-1.0,9999.0,1.0,776.0,-1.0,9999.0,0,10937,0.0,0.0,8629315,9425656
8738993271,59,5.0,1774163304.0,1804,0,18865.0,0,21,881155636.0,100,411602527.0,37,89972122.0,14,494553157.0,47,398896331.0,51,935495351.0,106,248388120.0,65,389033587.0,27,274078636.0,11,113458514.0,374.2,531.4,0,1047,0.0,1679.0,1.0,389.0,-1.0,9999.0,0,23640,0.0,0.0,10047487,9098294
8738966640,59,3.0,1774161021.0,2014,1,18959.0,263,129,1750916329.0,26,1749630639.0,131,1750435217.0,70,1750248703.0,14,1750577069.0,47,1200963940.0,36,1228355759.0,101,928499811.0,11,1185918470.0,64,1227183303.0,558.4,437.0,-1,9999,-1.0,9999.0,1.0,606.0,-1.0,9999.0,0,19412,0.0,0.0,9767998,8629005
8738955654,59,3.0,1774160265.0,1809,1,18959.0,21,79,1750510331.0,42,1749799475.0,100,808766025.0,63,1750623235.0,15,1750299292.0,26,80599925.0,108,1103355581.0,14,1045494300.0,71,301477244.0,56,181339278.0,488.2,389.4,0,1690,-1.0,9999.0,1.0,823.0,-1.0,9999.0,0,14334,0.0,0.0,9768002,2443375
8738930688,59,3.0,1774158421.0,1920,0,18959.0,180,47,1185918470.0,17,1200963940.0,155,1228355759.0,79,928499811.0,64,1227183303.0,29,1750916329.0,34,1750435217.0,11,1750248703.0,35,1750577069.0,87,1749630639.0,438.8,536.0,0,988,0.0,1632.0,1.0,970.0,-1.0,9999.0,0,15529,0.0,0.0,8629005,9767998
8738926550,59,3.0,1774158422.0,1200,0,18959.0,13,104,1103355581.0,37,301477244.0,14,1045494300.0,46,181339278.0,26,80599925.0,71,1750510331.0,96,1749799475.0,48,1750623235.0,11,1750299292.0,128,808766025.0,309.8,464.2,0,1151,-1.0,9999.0,1.0,617.0,-1.0,9999.0,0,15467,0.0,0.0,2443375,9768002
8738898386,59,3.0,1774156071.0,1577,0,18959.0,251,14,1750916329.0,46,1750248703.0,26,1749630639.0,37,1750435217.0,35,1750577069.0,11,1185918470.0,129,1228355759.0,79,928499811.0,74,1200963940.0,123,1227183303.0,393.8,535.0,0,1396,-1.0,9999.0,1.0,844.0,-1.0,9999.0,0,17313,0.0,0.0,9767998,8629005
8738897787,59,3.0,1774156297.0,1371,0,18959.0,2,106,1750299292.0,29,1750510331.0,70,1750623235.0,20,1749799475.0,37,808766025.0,49,1045494300.0,11,181339278.0,71,301477244.0,28,1103355581.0,27,80599925.0,335.2,466.0,0,1090,-1.0,9999.0,1.0,436.0,-1.0,9999.0,0,12555,0.0,0.0,9768002,2443375
8738872901,59,3.0,1774153840.0,1254,1,18959.0,171,15,1903247233.0,75,1903997264.0,8,1902895053.0,96,1904129499.0,31,1902237853.0,49,1903287666.0,71,1902976475.0,48,1902782463.0,28,1902738528.0,27,1903043745.0,466.2,360.0,0,1092,-1.0,9999.0,1.0,668.0,-1.0,9999.0,0,8292,0.0,0.0,9878494,9814269
