match_id,win_radiant,first_roshan_team,first_roshan_time,first_tower_team,first_tower_time,wisdom_7m_rad,wisdom_7m_dire,first_shard_team,first_shard_time,rad_power_runes_10m
8746223990,0,0,1368,1,572,0,0,0,901,10
8746219838,1,0,1743,1,671,0,0,0,1043,5
8746216605,1,0,1551,1,416,0,0,0,1296,10
8746211447,0,0,1040,1,638,0,0,1,1092,7
8746165195,0,1,1371,1,664,0,0,0,986,5
8746135052,0,1,969,1,592,0,0,1,903,10
8746100664,0,1,1662,1,796,0,0,1,1007,8
8746092219,1,0,1287,1,777,0,0,1,1152,5
8746052384,1,0,1433,1,692,0,0,1,1328,7
8746039009,1,0,1497,1,680,0,0,1,1407,7
8746035381,1,0,1560,1,633,0,0,1,1030,5
8745992471,0,1,1593,1,696,0,0,0,1094,6
8745975995,0,-1,0,1,665,0,0,0,1419,7
8745947296,1,0,1410,1,639,0,0,0,900,10
8745921397,0,1,1411,1,744,0,0,0,1019,6
8745919736,1,0,1165,1,621,0,0,1,1062,8
8745878417,1,1,2061,1,511,0,0,0,1187,9
8745871069,1,0,1657,1,726,0,0,0,1248,9
8745869043,1,0,688,1,647,0,0,1,1192,6
8745841573,1,1,1170,1,463,0,0,1,964,10
8745834843,0,1,1087,1,692,0,0,0,1180,5
8745822216,0,-1,0,1,597,0,0,1,1207,4
8745797560,0,0,1599,1,711,0,0,1,1273,6
8745771816,1,0,1372,1,794,0,0,0,1294,8
8745739244,0,0,1002,1,667,0,0,0,904,9
8745725618,1,-1,0,1,495,0,0,1,977,10
8745724916,1,0,1424,1,528,0,0,0,1828,4
8745687860,1,0,1642,1,591,0,0,1,1145,5
8745669040,0,1,1992,1,756,0,0,1,1175,7
8745647290,1,0,1934,1,603,0,0,1,1023,6
8745637798,0,-1,0,1,653,0,0,0,1210,6
8745635210,1,-1,0,1,571,0,0,0,1412,7
8745620592,1,0,1580,1,644,0,0,1,1423,7
8745603372,1,0,1604,1,529,0,0,0,1405,8
8745593344,0,1,1763,1,448,0,0,0,938,7
8745586194,1,0,1764,1,994,0,0,0,1335,7
8745568093,1,0,1660,1,502,0,0,1,1388,6
8745564197,1,1,1703,1,491,0,0,0,1006,6
8745555592,0,-1,0,1,696,0,0,0,1105,8
8745535208,1,0,1564,1,552,0,0,1,907,5
8745528506,1,0,1569,1,581,0,0,0,994,7
8745511760,1,0,1598,1,606,0,0,1,1104,10
8745420395,1,-1,0,1,690,0,0,1,917,7
8745398775,1,-1,0,1,376,0,0,0,1528,5
